track_name,album_name,popularity,track_duration_ms,explicit,artist_id,artist_name,year
NOKIA,$ome $exy $ongs 4 U,94,241023,TRUE,3TVXtAsR1Inumwj472S9r4,Drake,2018
One Dance,Views,89,173986,FALSE,3TVXtAsR1Inumwj472S9r4,Drake,2018
DIE TRYING,$ome $exy $ongs 4 U,87,195431,TRUE,3TVXtAsR1Inumwj472S9r4,Drake,2018
Passionfruit,More Life,87,298940,TRUE,3TVXtAsR1Inumwj472S9r4,Drake,2018
She Will,Tha Carter IV (Complete Edition),81,305840,TRUE,3TVXtAsR1Inumwj472S9r4,Drake,2018
God's Plan,Scorpion,85,198973,TRUE,3TVXtAsR1Inumwj472S9r4,Drake,2018
WAIT FOR U (feat. Drake & Tems),I NEVER LIKED YOU,85,189893,TRUE,3TVXtAsR1Inumwj472S9r4,Drake,2018
Headlines,Take Care (Deluxe),84,235986,TRUE,3TVXtAsR1Inumwj472S9r4,Drake,2018
9,Views,83,255786,TRUE,3TVXtAsR1Inumwj472S9r4,Drake,2018
Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",83,218364,TRUE,3TVXtAsR1Inumwj472S9r4,Drake,2018
I Had Some Help (Feat. Morgan Wallen),F-1 Trillion,88,178205,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,2018
I Ain't Comin' Back (feat. Post Malone),I’m The Problem,81,175271,FALSE,246dkjvS1zLTtiykXe5h60,Post Malone,2018
Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,84,157560,FALSE,246dkjvS1zLTtiykXe5h60,Post Malone,2018
Circles,Hollywood's Bleeding,88,215280,FALSE,246dkjvS1zLTtiykXe5h60,Post Malone,2018
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,85,228965,FALSE,246dkjvS1zLTtiykXe5h60,Post Malone,2018
rockstar (feat. 21 Savage),beerbongs & bentleys,84,218146,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,2018
Guy For That (Feat. Luke Combs),F-1 Trillion,81,164011,FALSE,246dkjvS1zLTtiykXe5h60,Post Malone,2018
Congratulations,Stoney (Deluxe),83,220293,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,2018
Better Now,beerbongs & bentleys,82,231266,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,2018
Dial Drunk (with Post Malone),Dial Drunk (with Post Malone),81,213817,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,2018
Falling Down - Bonus Track,"Come Over When You're Sober, Pt. 2",86,196400,TRUE,15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,2018
Revenge,17,85,120026,TRUE,15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,2018
Hope,?,85,110886,TRUE,15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,2018
Fuck Love,17,85,146520,TRUE,15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,2018
Moonlight,?,84,135090,TRUE,15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,2018
SAD!,?,82,166605,TRUE,15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,2018
Everybody Dies In Their Nightmares,17,82,95466,TRUE,15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,2018
